Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
LDA,6,0.06912442396313365,0.04966887417218543,0.9779312212293528,0.05780346820809248,0.7246782522325541,0.047598967649810885,0.021665775969285615,0.04803354867771754,0.04656559065863325,0.013629388934019316,0.01936996024348059,0.004970238763729507,-0.0050102198962286735,0.01177601581276253,0.0013265649918016375,6.895622290610248e-05,0.0196637541834191,0.0002931201006266981,0.13005884863322933,0.005373419285281189
QDA,6,0.013760401654967227,0.9801324503311258,0.04228721003700695,0.02713977903085316,0.6615331507616379,0.006515284307451729,0.9575603335755846,0.0338280317968815,0.08295499225602661,0.013629388934019316,0.06035017182902447,-0.014769210035713565,0.052080141955481676,0.014142988701960823,-0.01255677096201797,0.00889625120729538,-0.004065721794209498,0.02739089418476672,0.022065766716830228,0.05084454527077109
LR,6,0.2,0.08278145695364239,0.9829858290459428,0.11709601873536299,0.7124352625978105,0.12107022903719804,0.020749373204301872,0.0720313424407178,0.07072046037902127,0.013629388934019316,0.023709934637586905,0.02386783764964857,-0.003967565867792589,0.011238292041957854,0.004491363626154032,0.005078726892927032,0.017428404573122912,-0.0004934749893307888,0.125527953100784,0.015070865434289548
CART,6,0.12659380692167577,0.4602649006622517,0.9493636609802328,0.19857142857142857,0.7097146403188116,0.22246177663837757,0.05065890423323405,0.06599772107161245,0.297353284489103,0.013629388934019316,0.018071696502774025,0.015623862896161422,0.23827856517149212,0.0,0.14179106489072577,0.1360881381819816,0.1666714584128839,0.20345005727634158,0.2578711170009658,0.2003389411738281
GBDT,6,0.2588996763754045,0.5298013245033113,0.9729217438396968,0.34782608695652173,0.9073727916864631,0.35830929433958186,0.021538806664097517,0.3333093726687394,0.3302714925694216,0.013629388934019316,7.255003256887438e-05,0.015539632982188101,0.007972192897733566,0.0,0.04012129107612132,0.022046225376788464,0.011311291300734428,0.03269153882437496,0.03291502886278377,0.010464724512027934
NN,6,0.3003533568904594,0.2814569536423841,0.981270872822457,0.2905982905982906,0.8021160328168482,0.28127098279840884,0.022721003265683513,0.1773128702365933,0.17565074828352215,0.013629388934019316,0.1118674333460612,0.031253565733024666,0.1152103501718289,0.015958761034118595,0.015790975045483945,0.009693178500033529,0.06639900271781837,0.06298128972844252,0.26828126052873913,0.1013178050807482
RF,6,0.3486682808716707,0.4768211920529801,0.9807293076992508,0.40279720279720277,0.9310097459106201,0.39822845518022015,0.01882171814728238,0.337965262288699,0.3411049717857668,0.013629388934019316,0.0002396621818915756,4.424878147384348e-05,0.004904876350486198,0.0,0.015374317737696796,0.009086498506322793,0.00935064351654269,0.012187956245367304,0.05307450416657304,0.005630376676175252
LDA,7,0.06912442396313365,0.04966887417218543,0.9779312212293528,0.05780346820809248,0.7246782522325541,0.047598967649810885,0.021665775969285615,0.04803354867771754,0.04656559065863325,0.013629388934019316,0.01936996024348059,0.004970238763729507,-0.0050102198962286735,0.01177601581276253,0.0013265649918016375,6.895622290610248e-05,0.0196637541834191,0.0002931201006266981,0.13005884863322933,0.005373419285281189
QDA,7,0.013760401654967227,0.9801324503311258,0.04228721003700695,0.02713977903085316,0.6615331507616379,0.006515284307451729,0.9575603335755846,0.0338280317968815,0.08295499225602661,0.013629388934019316,0.06035017182902447,-0.014769210035713565,0.052080141955481676,0.014142988701960823,-0.01255677096201797,0.00889625120729538,-0.004065721794209498,0.02739089418476672,0.022065766716830228,0.05084454527077109
LR,7,0.2,0.08278145695364239,0.9829858290459428,0.11709601873536299,0.7124352625978105,0.12107022903719804,0.020749373204301872,0.0720313424407178,0.07072046037902127,0.013629388934019316,0.023709934637586905,0.02386783764964857,-0.003967565867792589,0.011238292041957854,0.004491363626154032,0.005078726892927032,0.017428404573122912,-0.0004934749893307888,0.125527953100784,0.015070865434289548
CART,7,0.12659380692167577,0.4602649006622517,0.9493636609802328,0.19857142857142857,0.7097146403188116,0.22246177663837757,0.05065890423323405,0.06599772107161245,0.297353284489103,0.013629388934019316,0.018071696502774025,0.015623862896161422,0.23827856517149212,0.0,0.14179106489072577,0.1360881381819816,0.1666714584128839,0.20345005727634158,0.2578711170009658,0.2003389411738281
GBDT,7,0.2588996763754045,0.5298013245033113,0.9729217438396968,0.34782608695652173,0.9073727916864631,0.35830929433958186,0.021538806664097517,0.3333093726687394,0.3302714925694216,0.013629388934019316,7.255003256887438e-05,0.015539632982188101,0.007972192897733566,0.0,0.04012129107612132,0.022046225376788464,0.011311291300734428,0.03269153882437496,0.03291502886278377,0.010464724512027934
NN,7,0.3003533568904594,0.2814569536423841,0.981270872822457,0.2905982905982906,0.8021160328168482,0.28127098279840884,0.022721003265683513,0.1773128702365933,0.17565074828352215,0.013629388934019316,0.1118674333460612,0.031253565733024666,0.1152103501718289,0.015958761034118595,0.015790975045483945,0.009693178500033529,0.06639900271781837,0.06298128972844252,0.26828126052873913,0.1013178050807482
RF,7,0.3486682808716707,0.4768211920529801,0.9807293076992508,0.40279720279720277,0.9310097459106201,0.39822845518022015,0.01882171814728238,0.337965262288699,0.3411049717857668,0.013629388934019316,0.0002396621818915756,4.424878147384348e-05,0.004904876350486198,0.0,0.015374317737696796,0.009086498506322793,0.00935064351654269,0.012187956245367304,0.05307450416657304,0.005630376676175252
LDA,8,0.06912442396313365,0.04966887417218543,0.9779312212293528,0.05780346820809248,0.7246782522325541,0.047598967649810885,0.021665775969285615,0.04803354867771754,0.04656559065863325,0.013629388934019316,0.01936996024348059,0.004970238763729507,-0.0050102198962286735,0.01177601581276253,0.0013265649918016375,6.895622290610248e-05,0.0196637541834191,0.0002931201006266981,0.13005884863322933,0.005373419285281189
QDA,8,0.013760401654967227,0.9801324503311258,0.04228721003700695,0.02713977903085316,0.6615331507616379,0.006515284307451729,0.9575603335755846,0.0338280317968815,0.08295499225602661,0.013629388934019316,0.06035017182902447,-0.014769210035713565,0.052080141955481676,0.014142988701960823,-0.01255677096201797,0.00889625120729538,-0.004065721794209498,0.02739089418476672,0.022065766716830228,0.05084454527077109
LR,8,0.2,0.08278145695364239,0.9829858290459428,0.11709601873536299,0.7124352625978105,0.12107022903719804,0.020749373204301872,0.0720313424407178,0.07072046037902127,0.013629388934019316,0.023709934637586905,0.02386783764964857,-0.003967565867792589,0.011238292041957854,0.004491363626154032,0.005078726892927032,0.017428404573122912,-0.0004934749893307888,0.125527953100784,0.015070865434289548
CART,8,0.12659380692167577,0.4602649006622517,0.9493636609802328,0.19857142857142857,0.7097146403188116,0.22246177663837757,0.05065890423323405,0.06599772107161245,0.297353284489103,0.013629388934019316,0.018071696502774025,0.015623862896161422,0.23827856517149212,0.0,0.14179106489072577,0.1360881381819816,0.1666714584128839,0.20345005727634158,0.2578711170009658,0.2003389411738281
GBDT,8,0.2588996763754045,0.5298013245033113,0.9729217438396968,0.34782608695652173,0.9073727916864631,0.35830929433958186,0.021538806664097517,0.3333093726687394,0.3302714925694216,0.013629388934019316,7.255003256887438e-05,0.015539632982188101,0.007972192897733566,0.0,0.04012129107612132,0.022046225376788464,0.011311291300734428,0.03269153882437496,0.03291502886278377,0.010464724512027934
NN,8,0.3003533568904594,0.2814569536423841,0.981270872822457,0.2905982905982906,0.8021160328168482,0.28127098279840884,0.022721003265683513,0.1773128702365933,0.17565074828352215,0.013629388934019316,0.1118674333460612,0.031253565733024666,0.1152103501718289,0.015958761034118595,0.015790975045483945,0.009693178500033529,0.06639900271781837,0.06298128972844252,0.26828126052873913,0.1013178050807482
RF,8,0.3486682808716707,0.4768211920529801,0.9807293076992508,0.40279720279720277,0.9310097459106201,0.39822845518022015,0.01882171814728238,0.337965262288699,0.3411049717857668,0.013629388934019316,0.0002396621818915756,4.424878147384348e-05,0.004904876350486198,0.0,0.015374317737696796,0.009086498506322793,0.00935064351654269,0.012187956245367304,0.05307450416657304,0.005630376676175252
LDA,9,0.06912442396313365,0.04966887417218543,0.9779312212293528,0.05780346820809248,0.7246782522325541,0.047598967649810885,0.021665775969285615,0.04803354867771754,0.04656559065863325,0.013629388934019316,0.01936996024348059,0.004970238763729507,-0.0050102198962286735,0.01177601581276253,0.0013265649918016375,6.895622290610248e-05,0.0196637541834191,0.0002931201006266981,0.13005884863322933,0.005373419285281189
QDA,9,0.013760401654967227,0.9801324503311258,0.04228721003700695,0.02713977903085316,0.6615331507616379,0.006515284307451729,0.9575603335755846,0.0338280317968815,0.08295499225602661,0.013629388934019316,0.06035017182902447,-0.014769210035713565,0.052080141955481676,0.014142988701960823,-0.01255677096201797,0.00889625120729538,-0.004065721794209498,0.02739089418476672,0.022065766716830228,0.05084454527077109
LR,9,0.2,0.08278145695364239,0.9829858290459428,0.11709601873536299,0.7124352625978105,0.12107022903719804,0.020749373204301872,0.0720313424407178,0.07072046037902127,0.013629388934019316,0.023709934637586905,0.02386783764964857,-0.003967565867792589,0.011238292041957854,0.004491363626154032,0.005078726892927032,0.017428404573122912,-0.0004934749893307888,0.125527953100784,0.015070865434289548
CART,9,0.12659380692167577,0.4602649006622517,0.9493636609802328,0.19857142857142857,0.7097146403188116,0.22246177663837757,0.05065890423323405,0.06599772107161245,0.297353284489103,0.013629388934019316,0.018071696502774025,0.015623862896161422,0.23827856517149212,0.0,0.14179106489072577,0.1360881381819816,0.1666714584128839,0.20345005727634158,0.2578711170009658,0.2003389411738281
GBDT,9,0.2588996763754045,0.5298013245033113,0.9729217438396968,0.34782608695652173,0.9073727916864631,0.35830929433958186,0.021538806664097517,0.3333093726687394,0.3302714925694216,0.013629388934019316,7.255003256887438e-05,0.015539632982188101,0.007972192897733566,0.0,0.04012129107612132,0.022046225376788464,0.011311291300734428,0.03269153882437496,0.03291502886278377,0.010464724512027934
NN,9,0.3003533568904594,0.2814569536423841,0.981270872822457,0.2905982905982906,0.8021160328168482,0.28127098279840884,0.022721003265683513,0.1773128702365933,0.17565074828352215,0.013629388934019316,0.1118674333460612,0.031253565733024666,0.1152103501718289,0.015958761034118595,0.015790975045483945,0.009693178500033529,0.06639900271781837,0.06298128972844252,0.26828126052873913,0.1013178050807482
RF,9,0.3486682808716707,0.4768211920529801,0.9807293076992508,0.40279720279720277,0.9310097459106201,0.39822845518022015,0.01882171814728238,0.337965262288699,0.3411049717857668,0.013629388934019316,0.0002396621818915756,4.424878147384348e-05,0.004904876350486198,0.0,0.015374317737696796,0.009086498506322793,0.00935064351654269,0.012187956245367304,0.05307450416657304,0.005630376676175252
LDA,10,0.06912442396313365,0.04966887417218543,0.9779312212293528,0.05780346820809248,0.7246782522325541,0.047598967649810885,0.021665775969285615,0.04803354867771754,0.04656559065863325,0.013629388934019316,0.01936996024348059,0.004970238763729507,-0.0050102198962286735,0.01177601581276253,0.0013265649918016375,6.895622290610248e-05,0.0196637541834191,0.0002931201006266981,0.13005884863322933,0.005373419285281189
QDA,10,0.013760401654967227,0.9801324503311258,0.04228721003700695,0.02713977903085316,0.6615331507616379,0.006515284307451729,0.9575603335755846,0.0338280317968815,0.08295499225602661,0.013629388934019316,0.06035017182902447,-0.014769210035713565,0.052080141955481676,0.014142988701960823,-0.01255677096201797,0.00889625120729538,-0.004065721794209498,0.02739089418476672,0.022065766716830228,0.05084454527077109
LR,10,0.2,0.08278145695364239,0.9829858290459428,0.11709601873536299,0.7124352625978105,0.12107022903719804,0.020749373204301872,0.0720313424407178,0.07072046037902127,0.013629388934019316,0.023709934637586905,0.02386783764964857,-0.003967565867792589,0.011238292041957854,0.004491363626154032,0.005078726892927032,0.017428404573122912,-0.0004934749893307888,0.125527953100784,0.015070865434289548
CART,10,0.12659380692167577,0.4602649006622517,0.9493636609802328,0.19857142857142857,0.7097146403188116,0.22246177663837757,0.05065890423323405,0.06599772107161245,0.297353284489103,0.013629388934019316,0.018071696502774025,0.015623862896161422,0.23827856517149212,0.0,0.14179106489072577,0.1360881381819816,0.1666714584128839,0.20345005727634158,0.2578711170009658,0.2003389411738281
GBDT,10,0.2588996763754045,0.5298013245033113,0.9729217438396968,0.34782608695652173,0.9073727916864631,0.35830929433958186,0.021538806664097517,0.3333093726687394,0.3302714925694216,0.013629388934019316,7.255003256887438e-05,0.015539632982188101,0.007972192897733566,0.0,0.04012129107612132,0.022046225376788464,0.011311291300734428,0.03269153882437496,0.03291502886278377,0.010464724512027934
NN,10,0.3003533568904594,0.2814569536423841,0.981270872822457,0.2905982905982906,0.8021160328168482,0.28127098279840884,0.022721003265683513,0.1773128702365933,0.17565074828352215,0.013629388934019316,0.1118674333460612,0.031253565733024666,0.1152103501718289,0.015958761034118595,0.015790975045483945,0.009693178500033529,0.06639900271781837,0.06298128972844252,0.26828126052873913,0.1013178050807482
RF,10,0.3486682808716707,0.4768211920529801,0.9807293076992508,0.40279720279720277,0.9310097459106201,0.39822845518022015,0.01882171814728238,0.337965262288699,0.3411049717857668,0.013629388934019316,0.0002396621818915756,4.424878147384348e-05,0.004904876350486198,0.0,0.015374317737696796,0.009086498506322793,0.00935064351654269,0.012187956245367304,0.05307450416657304,0.005630376676175252
