Model,Iteration,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Test AP,Test AUPRC,Test AUPRC baseline,Importance_0,Importance_1,Importance_2,Importance_3,Importance_4,Importance_5,Importance_6,Importance_7,Importance_8,Importance_9
CART,2,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,2,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,2,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,2,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,3,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,3,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,3,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,3,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,3,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,3,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,3,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,4,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,4,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,4,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,4,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,4,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,4,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,4,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,5,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,5,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,5,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,5,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,5,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,5,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,5,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,6,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,6,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,6,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,6,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,6,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,6,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,6,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,7,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,7,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,7,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,7,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,7,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,7,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,7,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,8,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,8,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,8,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,8,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,8,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,8,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,8,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,9,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,9,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,9,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,9,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,9,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,9,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,9,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
LDA,10,0.054838709677419356,0.1118421052631579,0.9771891488567926,0.0735930735930736,0.6929903509243259,0.06757871797154573,0.02026764168055801,0.06591543142528081,0.0641815933624287,0.008101049938709162,0.00647540983606556,0.0011809661381349424,0.0013240728298844484,0.0032911179790379164,0.005464256920182731,0.0005306033324374848,0.0005257323300188243,0.0032954850846546925,0.053392233270626144,0.07094094329481324
QDA,10,0.04727272727272727,0.17105263157894737,0.9653573522357832,0.07407407407407407,0.7104598582049665,0.07593786792090844,0.03328607337967881,0.033828506712946266,0.07103659217373819,0.008101049938709162,0.023718758398280016,0.014372984412792288,0.011690909701693087,0.002333714055361491,0.013020693361999468,0.004033693899489354,0.00953607901101854,0.09492139209889808,0.05805092717011553,0.10716944369793065
LR,10,0.2619047619047619,0.07236842105263158,0.9908330224377765,0.11340206185567012,0.6742786524098652,0.13410770273362219,0.015851758976393945,0.06146741613144656,0.059278875018030225,0.008101049938709162,0.008790647675356112,0.0009155804891158193,0.0017080421929589029,0.0003221580220370779,0.002089156140822457,0.0017120733673743783,0.0005180059123891523,0.010106826122010193,0.0516756248320344,0.08418435904326796
CART,10,0.08465011286681716,0.4934210526315789,0.9526728135159622,0.14450867052023122,0.7300127047105701,0.1901100384036607,0.04723636509978932,0.0447999896128345,0.2749323945714087,0.008101049938709162,0.08557746573501739,0.06269987906476748,0.10405788094598215,6.063558183277973e-05,0.114441682343456,0.34790513302875564,0.19147910507927968,0.08426649422198325,0.2808890419242139,0.15990677909164197
GBDT,10,0.1831831831831832,0.40131578947368424,0.9806534136332143,0.2515463917525773,0.9348521248045156,0.26254086313374025,0.01494722026235265,0.23574732856167982,0.23223191136846622,0.008101049938709162,0.004669107766729419,0.03876410911045418,0.0020721916151572152,1.9484009674863854e-05,0.011457269551195992,0.15460242542327335,0.0214928782585327,0.00820780704111801,0.05473327062617581,0.007317421392098944
NN,10,0.14285714285714285,0.10526315789473684,0.9876352395672334,0.12121212121212122,0.7965743943168867,0.1164935797565431,0.015293096484098129,0.0878203035994812,0.08541734121172367,0.008101049938709162,0.07932679387261503,0.015413699274388692,0.06866047433485631,0.006685366836871887,0.011261085729642639,0.020276639344262336,0.055064162859446465,0.04411582907820488,0.22205623488309606,0.1270730314431605
RF,10,0.2277992277992278,0.3881578947368421,0.9843841603155146,0.28710462287104627,0.9535009007123689,0.2899607117796085,0.014487378095733574,0.2980221327083184,0.2997135866462636,0.008101049938709162,0.0029323434560601046,0.003479407417360925,0.0028772507390486092,1.0077936038666025e-05,0.020300994356355774,0.045381953775866665,0.019621069604944898,0.0038895794141359462,0.0880280838484278,0.0073258196721311284
